,ID_REUNION,TIEMPO_inicio,TIPO_EVENTO_inicio,TIEMPO_ESTIMADO_ORADOR,TIEMPO_fin,TIPO_EVENTO_fin,DURACION,DIFERENCIA_ESTIMADO,DIPUTADO,BLOQUE
151,494,2025-02-12 16:36:50,INICIO_ORADOR,300,2025-02-12 16:41:22,FIN_ORADOR,4.533333333333333,-295.46666666666664,Diputado 76,Bloque 09
152,494,2025-02-12 19:29:24,INICIO_ORADOR,300,2025-02-12 19:34:24,FIN_ORADOR,5.0,-295.0,Diputado 77,Bloque 02
153,494,2025-02-12 15:07:35,INICIO_ORADOR,600,2025-02-12 15:17:40,FIN_ORADOR,10.083333333333334,-589.9166666666666,Diputado 78,Bloque 01
154,494,2025-02-12 18:42:07,INICIO_ORADOR,300,2025-02-12 18:48:54,FIN_ORADOR,6.783333333333333,-293.21666666666664,Diputado 79,Bloque 02
155,494,2025-02-12 13:20:53,INICIO_ORADOR,300,2025-02-12 13:26:52,FIN_ORADOR,5.983333333333333,-294.01666666666665,Diputado 80,Bloque 02
156,494,2025-02-12 10:40:54,INICIO_ORADOR,300,2025-02-12 10:47:17,FIN_ORADOR,6.383333333333334,-293.6166666666667,Diputado 81,Bloque 08
157,494,2025-02-12 10:40:54,INICIO_ORADOR,300,2025-02-12 14:03:26,FIN_ORADOR,202.53333333333333,-97.46666666666667,Diputado 81,Bloque 08
159,494,2025-02-12 14:01:52,INICIO_ORADOR,300,2025-02-12 14:03:26,FIN_ORADOR,1.5666666666666667,-298.43333333333334,Diputado 81,Bloque 08
160,494,2025-02-12 14:40:56,INICIO_ORADOR,300,2025-02-12 14:43:25,FIN_ORADOR,2.4833333333333334,-297.51666666666665,Diputado 82,Bloque 13
161,494,2025-02-12 11:20:41,INICIO_ORADOR,600,2025-02-12 11:21:00,PAUSA_ORADOR,0.31666666666666665,-599.6833333333333,Diputado 83,Bloque 09
162,494,2025-02-12 11:20:41,INICIO_ORADOR,600,2025-02-12 11:33:18,FIN_ORADOR,12.616666666666667,-587.3833333333333,Diputado 83,Bloque 09
164,494,2025-02-12 11:21:26,INICIO_ORADOR,600,2025-02-12 11:33:18,FIN_ORADOR,11.866666666666667,-588.1333333333333,Diputado 83,Bloque 09
165,494,2025-02-12 20:53:40,INICIO_ORADOR,300,2025-02-12 20:59:40,FIN_ORADOR,6.0,-294.0,Diputado 84,Bloque 02
166,494,2025-02-12 16:13:43,INICIO_ORADOR,300,2025-02-12 16:17:16,FIN_ORADOR,3.55,-296.45,Diputado 85,Bloque 09
167,494,2025-02-12 21:05:43,INICIO_ORADOR,300,2025-02-12 21:05:53,PAUSA_ORADOR,0.16666666666666666,-299.8333333333333,Diputado 86,Bloque 08
168,494,2025-02-12 21:05:43,INICIO_ORADOR,300,2025-02-12 21:10:03,FIN_ORADOR,4.333333333333333,-295.6666666666667,Diputado 86,Bloque 08
170,494,2025-02-12 21:06:11,INICIO_ORADOR,300,2025-02-12 21:10:03,FIN_ORADOR,3.8666666666666667,-296.1333333333333,Diputado 86,Bloque 08
171,494,2025-02-12 16:10:05,INICIO_ORADOR,300,2025-02-12 16:13:34,FIN_ORADOR,3.4833333333333334,-296.51666666666665,Diputado 87,Bloque 09
172,494,2025-02-12 19:48:20,INICIO_ORADOR,300,2025-02-12 19:50:32,FIN_ORADOR,2.2,-297.8,Diputado 88,Bloque 04
173,494,2025-02-12 16:57:51,INICIO_ORADOR,300,2025-02-12 17:03:31,FIN_ORADOR,5.666666666666667,-294.3333333333333,Diputado 89,Bloque 09
174,494,2025-02-12 18:19:08,INICIO_ORADOR,300,2025-02-12 18:19:22,PAUSA_ORADOR,0.23333333333333334,-299.76666666666665,Diputado 90,Bloque 09
175,494,2025-02-12 18:19:08,INICIO_ORADOR,300,2025-02-12 18:19:57,PAUSA_ORADOR,0.8166666666666667,-299.18333333333334,Diputado 90,Bloque 09
176,494,2025-02-12 18:19:08,INICIO_ORADOR,300,2025-02-12 18:26:36,FIN_ORADOR,7.466666666666667,-292.53333333333336,Diputado 90,Bloque 09
177,494,2025-02-12 18:19:08,INICIO_ORADOR,300,2025-02-12 22:58:05,FIN_ORADOR,278.95,-21.05000000000001,Diputado 90,Bloque 09
179,494,2025-02-12 18:19:40,INICIO_ORADOR,300,2025-02-12 18:19:57,PAUSA_ORADOR,0.2833333333333333,-299.71666666666664,Diputado 90,Bloque 09
180,494,2025-02-12 18:19:40,INICIO_ORADOR,300,2025-02-12 18:26:36,FIN_ORADOR,6.933333333333334,-293.06666666666666,Diputado 90,Bloque 09
181,494,2025-02-12 18:19:40,INICIO_ORADOR,300,2025-02-12 22:58:05,FIN_ORADOR,278.4166666666667,-21.583333333333314,Diputado 90,Bloque 09
184,494,2025-02-12 18:20:14,INICIO_ORADOR,300,2025-02-12 18:26:36,FIN_ORADOR,6.366666666666666,-293.6333333333333,Diputado 90,Bloque 09
185,494,2025-02-12 18:20:14,INICIO_ORADOR,300,2025-02-12 22:58:05,FIN_ORADOR,277.85,-22.149999999999977,Diputado 90,Bloque 09
189,494,2025-02-12 22:53:55,INICIO_ORADOR,300,2025-02-12 22:58:05,FIN_ORADOR,4.166666666666667,-295.8333333333333,Diputado 90,Bloque 09
190,494,2025-02-12 10:37:39,INICIO_ORADOR,300,2025-02-12 10:40:19,FIN_ORADOR,2.6666666666666665,-297.3333333333333,Diputado 91,Bloque 08
191,494,2025-02-12 22:46:55,INICIO_ORADOR,300,2025-02-12 22:51:24,FIN_ORADOR,4.483333333333333,-295.51666666666665,Diputado 92,Bloque 02
192,494,2025-02-12 14:35:19,INICIO_ORADOR,300,2025-02-12 14:40:47,FIN_ORADOR,5.466666666666667,-294.53333333333336,Diputado 93,Bloque 14
193,494,2025-02-12 14:20:33,INICIO_ORADOR,300,2025-02-12 14:26:08,FIN_ORADOR,5.583333333333333,-294.4166666666667,Diputado 94,Bloque 15
194,494,2025-02-12 17:44:35,INICIO_ORADOR,300,2025-02-12 17:48:30,FIN_ORADOR,3.9166666666666665,-296.0833333333333,Diputado 95,Bloque 09
195,494,2025-02-12 10:56:05,INICIO_ORADOR,300,2025-02-12 11:01:44,FIN_ORADOR,5.65,-294.35,Diputado 96,Bloque 16
196,494,2025-02-12 10:56:05,INICIO_ORADOR,300,2025-02-12 12:35:55,FIN_ORADOR,99.83333333333333,-200.16666666666669,Diputado 96,Bloque 16
198,494,2025-02-12 12:29:05,INICIO_ORADOR,240,2025-02-12 12:35:55,FIN_ORADOR,6.833333333333333,-233.16666666666666,Diputado 96,Bloque 16
